category_name,date,YEARS,MONTHS,Total_value
100% AGAVE TEQUILA,2023-09-22,2023,9,107948.75
STRAIGHT BOURBON WHISKIES,2023-08-10,2023,8,107932.54
CANADIAN WHISKIES,2023-01-08,2023,1,107930.39
STRAIGHT BOURBON WHISKIES,2023-02-24,2023,2,107899.57
STRAIGHT BOURBON WHISKIES,2021-04-20,2021,4,107890.03
SPICED RUM,2022-06-27,2022,6,107882.51
WHISKEY LIQUEUR,2022-08-22,2022,8,107841.37
SPICED RUM,2023-05-03,2023,5,107829.85
100% AGAVE TEQUILA,2023-07-05,2023,7,107821.39
100% AGAVE TEQUILA,2021-06-22,2021,6,107810.91
WHISKEY LIQUEUR,2021-01-13,2021,1,107808.97
WHISKEY LIQUEUR,2023-07-03,2023,7,107787.43
100% AGAVE TEQUILA,2021-11-16,2021,11,107782.34
100% AGAVE TEQUILA,2023-10-25,2023,10,107776.83
100% AGAVE TEQUILA,2023-02-07,2023,2,107772.6
100% AGAVE TEQUILA,2022-12-21,2022,12,107753.96
WHISKEY LIQUEUR,2021-12-03,2021,12,107721.79
STRAIGHT BOURBON WHISKIES,2022-01-14,2022,1,107689.74
WHISKEY LIQUEUR,2022-07-25,2022,7,107660.35
STRAIGHT BOURBON WHISKIES,2023-07-21,2023,7,107649.48
WHISKEY LIQUEUR,2022-02-04,2022,2,107563.74
100% AGAVE TEQUILA,2023-08-11,2023,8,107513.56
WHISKEY LIQUEUR,2022-01-10,2022,1,107506.4
100% AGAVE TEQUILA,2022-09-07,2022,9,107483.3
100% AGAVE TEQUILA,2022-08-23,2022,8,107436.5
WHISKEY LIQUEUR,2023-03-17,2023,3,107417.43
WHISKEY LIQUEUR,2022-06-27,2022,6,107402.62
100% AGAVE TEQUILA,2023-06-13,2023,6,107385.43
WHISKEY LIQUEUR,2022-12-13,2022,12,107354.35
WHISKEY LIQUEUR,2021-06-10,2021,6,107318.34
SPICED RUM,2023-03-01,2023,3,107311.1
100% AGAVE TEQUILA,2023-05-31,2023,5,107275.09
CANADIAN WHISKIES,2022-06-06,2022,6,107255.32
STRAIGHT BOURBON WHISKIES,2021-07-21,2021,7,107160.14
IMPORTED BRANDIES,2021-02-08,2021,2,107148.52
STRAIGHT BOURBON WHISKIES,2021-08-06,2021,8,107127.83
WHISKEY LIQUEUR,2021-05-26,2021,5,107126.26
100% AGAVE TEQUILA,2022-09-27,2022,9,107076.67
AMERICAN VODKAS,2022-03-08,2022,3,107025.69
WHISKEY LIQUEUR,2021-04-07,2021,4,106965.2
SPICED RUM,2021-12-20,2021,12,106938.12
100% AGAVE TEQUILA,2023-07-21,2023,7,106922.49
STRAIGHT BOURBON WHISKIES,2021-04-09,2021,4,106886.49
SPICED RUM,2021-09-21,2021,9,106879.08
SPICED RUM,2023-03-13,2023,3,106848.06
100% AGAVE TEQUILA,2023-09-01,2023,9,106783.45
SPICED RUM,2023-01-25,2023,1,106761.85
WHISKEY LIQUEUR,2022-10-26,2022,10,106730.76
SPICED RUM,2022-09-19,2022,9,106726.78
STRAIGHT BOURBON WHISKIES,2021-06-24,2021,6,106720.96
WHISKEY LIQUEUR,2022-09-16,2022,9,106669.65
STRAIGHT BOURBON WHISKIES,2022-08-19,2022,8,106629.33
WHISKEY LIQUEUR,2022-07-15,2022,7,106459.2
WHISKEY LIQUEUR,2023-11-24,2023,11,106447.39
WHISKEY LIQUEUR,2022-01-14,2022,1,106441.89
WHISKEY LIQUEUR,2022-04-01,2022,4,106430.27
TEMPORARY & SPECIALTY PACKAGES,2023-09-29,2023,9,106427.47
100% AGAVE TEQUILA,2022-04-01,2022,4,106397.12
100% AGAVE TEQUILA,2021-04-20,2021,4,106393.2
STRAIGHT BOURBON WHISKIES,2021-02-22,2021,2,106384.44
TENNESSEE WHISKIES,2023-08-29,2023,8,106366.64
TEMPORARY & SPECIALTY PACKAGES,2023-11-29,2023,11,106365.65
STRAIGHT BOURBON WHISKIES,2021-07-22,2021,7,106337.39
IMPORTED BRANDIES,2021-08-10,2021,8,106333.86
WHISKEY LIQUEUR,2022-09-28,2022,9,106299.96
WHISKEY LIQUEUR,2021-03-03,2021,3,106261.09
WHISKEY LIQUEUR,2023-08-23,2023,8,106247.83
WHISKEY LIQUEUR,2023-06-21,2023,6,106217.84
WHISKEY LIQUEUR,2022-04-19,2022,4,106208.44
CANADIAN WHISKIES,2022-01-03,2022,1,106131.43
STRAIGHT BOURBON WHISKIES,2021-11-30,2021,11,106118.58
100% AGAVE TEQUILA,2021-02-08,2021,2,106108.27
WHISKEY LIQUEUR,2023-08-31,2023,8,106093.84
SPICED RUM,2022-08-18,2022,8,106079.34
WHISKEY LIQUEUR,2021-10-08,2021,10,106070.66
STRAIGHT BOURBON WHISKIES,2023-08-18,2023,8,106061.09
100% AGAVE TEQUILA,2021-08-26,2021,8,106045.3
WHISKEY LIQUEUR,2023-06-22,2023,6,106003.98
IMPORTED BRANDIES,2021-02-15,2021,2,105977.37
IMPORTED BRANDIES,2022-05-09,2022,5,105940.71
100% AGAVE TEQUILA,2023-08-15,2023,8,105898.03
STRAIGHT BOURBON WHISKIES,2022-11-17,2022,11,105835.5
100% AGAVE TEQUILA,2022-05-12,2022,5,105809.66
WHISKEY LIQUEUR,2021-06-29,2021,6,105802.96
STRAIGHT BOURBON WHISKIES,2021-08-30,2021,8,105801.58
WHISKEY LIQUEUR,2023-04-24,2023,4,105777.45
WHISKEY LIQUEUR,2021-07-23,2021,7,105749.62
SPICED RUM,2021-03-18,2021,3,105728.37
WHISKEY LIQUEUR,2021-02-10,2021,2,105727.32
TENNESSEE WHISKIES,2022-12-07,2022,12,105716.26
STRAIGHT BOURBON WHISKIES,2021-08-09,2021,8,105705.72
STRAIGHT BOURBON WHISKIES,2023-02-17,2023,2,105701.92
100% AGAVE TEQUILA,2022-03-21,2022,3,105698.9
WHISKEY LIQUEUR,2022-12-15,2022,12,105671.66
IRISH WHISKIES,2023-02-15,2023,2,105662.04
100% AGAVE TEQUILA,2023-05-26,2023,5,105634.92
SPICED RUM,2021-03-16,2021,3,105628.52
STRAIGHT BOURBON WHISKIES,2021-01-07,2021,1,105603.9
IMPORTED BRANDIES,2022-08-02,2022,8,105591.36
WHISKEY LIQUEUR,2022-01-27,2022,1,105553.63
IMPORTED BRANDIES,2022-07-18,2022,7,105522.13
STRAIGHT BOURBON WHISKIES,2023-04-25,2023,4,105497.17
WHISKEY LIQUEUR,2023-10-23,2023,10,105495.79
100% AGAVE TEQUILA,2023-05-05,2023,5,105420.47
100% AGAVE TEQUILA,2023-08-30,2023,8,105395.26
WHISKEY LIQUEUR,2022-09-07,2022,9,105362.36
STRAIGHT BOURBON WHISKIES,2021-09-24,2021,9,105305.07
WHISKEY LIQUEUR,2023-07-24,2023,7,105273.79
TEMPORARY & SPECIALTY PACKAGES,2022-10-03,2022,10,105268.05
STRAIGHT BOURBON WHISKIES,2023-03-17,2023,3,105262.01
WHISKEY LIQUEUR,2022-02-01,2022,2,105244.82
STRAIGHT BOURBON WHISKIES,2022-05-12,2022,5,105232.93
WHISKEY LIQUEUR,2023-09-22,2023,9,105209.84
100% AGAVE TEQUILA,2021-08-24,2021,8,105193.89
WHISKEY LIQUEUR,2021-02-05,2021,2,105181.21
TEMPORARY & SPECIALTY PACKAGES,2022-11-08,2022,11,105181.0
STRAIGHT BOURBON WHISKIES,2023-07-27,2023,7,105142.63
IMPORTED VODKAS,2023-05-03,2023,5,105130.31
STRAIGHT BOURBON WHISKIES,2021-07-09,2021,7,105110.13
100% AGAVE TEQUILA,2022-11-02,2022,11,105105.37
WHISKEY LIQUEUR,2021-06-16,2021,6,105097.87
100% AGAVE TEQUILA,2022-08-19,2022,8,105091.72
STRAIGHT BOURBON WHISKIES,2021-04-12,2021,4,105039.95
STRAIGHT BOURBON WHISKIES,2021-04-16,2021,4,104988.02
IMPORTED BRANDIES,2022-01-31,2022,1,104966.54
WHISKEY LIQUEUR,2022-01-28,2022,1,104937.77
100% AGAVE TEQUILA,2022-03-24,2022,3,104884.04
WHISKEY LIQUEUR,2022-06-08,2022,6,104881.19
WHISKEY LIQUEUR,2022-09-26,2022,9,104863.5
SPICED RUM,2023-03-29,2023,3,104845.45
STRAIGHT BOURBON WHISKIES,2021-02-24,2021,2,104801.11
100% AGAVE TEQUILA,2022-10-18,2022,10,104774.15
SPICED RUM,2022-12-06,2022,12,104654.31
WHISKEY LIQUEUR,2023-12-30,2023,12,104620.94
TENNESSEE WHISKIES,2021-04-28,2021,4,104592.53
100% AGAVE TEQUILA,2021-09-21,2021,9,104577.06
WHISKEY LIQUEUR,2023-11-16,2023,11,104562.12
TEMPORARY & SPECIALTY PACKAGES,2023-10-25,2023,10,104541.87
STRAIGHT BOURBON WHISKIES,2023-07-20,2023,7,104487.97
MIXTO TEQUILA,2023-08-03,2023,8,104458.11
100% AGAVE TEQUILA,2022-11-17,2022,11,104424.37
TEMPORARY & SPECIALTY PACKAGES,2022-08-25,2022,8,104363.21
100% AGAVE TEQUILA,2022-02-22,2022,2,104319.05
SPICED RUM,2021-07-05,2021,7,104310.76
WHISKEY LIQUEUR,2022-08-19,2022,8,104232.85
SPICED RUM,2022-12-02,2022,12,104215.79
SPICED RUM,2023-03-31,2023,3,104212.77
SPICED RUM,2021-06-09,2021,6,104201.79
SPICED RUM,2022-03-08,2022,3,104194.61
100% AGAVE TEQUILA,2022-06-02,2022,6,104173.6
TEMPORARY & SPECIALTY PACKAGES,2022-11-09,2022,11,104160.16
WHISKEY LIQUEUR,2021-10-05,2021,10,104146.78
FLAVORED RUM,2021-07-07,2021,7,104135.74
100% AGAVE TEQUILA,2023-05-18,2023,5,104132.56
STRAIGHT BOURBON WHISKIES,2021-04-19,2021,4,104116.83
100% AGAVE TEQUILA,2022-02-15,2022,2,104108.62
STRAIGHT BOURBON WHISKIES,2022-08-22,2022,8,104099.32
SPICED RUM,2022-05-24,2022,5,104084.69
WHISKEY LIQUEUR,2021-12-16,2021,12,104025.06
WHISKEY LIQUEUR,2021-10-29,2021,10,104022.91
IMPORTED VODKAS,2021-07-07,2021,7,104006.23
WHISKEY LIQUEUR,2022-09-12,2022,9,103996.6
100% AGAVE TEQUILA,2023-04-11,2023,4,103947.44
CREAM LIQUEURS,2022-12-27,2022,12,103944.84
TENNESSEE WHISKIES,2022-12-05,2022,12,103937.01
BLENDED WHISKIES,2021-12-09,2021,12,103918.58
STRAIGHT BOURBON WHISKIES,2023-03-21,2023,3,103914.65
TENNESSEE WHISKIES,2021-07-08,2021,7,103910.9
100% AGAVE TEQUILA,2023-12-20,2023,12,103886.6
STRAIGHT BOURBON WHISKIES,2022-06-14,2022,6,103869.21
100% AGAVE TEQUILA,2022-05-17,2022,5,103856.11
WHISKEY LIQUEUR,2021-04-02,2021,4,103828.83
TEMPORARY & SPECIALTY PACKAGES,2023-10-17,2023,10,103819.68
100% AGAVE TEQUILA,2023-07-14,2023,7,103814.43
WHISKEY LIQUEUR,2023-07-28,2023,7,103813.11
IMPORTED BRANDIES,2022-07-12,2022,7,103812.07
SPICED RUM,2021-12-24,2021,12,103810.77
WHISKEY LIQUEUR,2023-06-08,2023,6,103787.51
SPICED RUM,2023-10-04,2023,10,103780.17
CANADIAN WHISKIES,2023-11-03,2023,11,103776.37
WHISKEY LIQUEUR,2024-01-30,2024,1,103759.55
STRAIGHT BOURBON WHISKIES,2021-08-27,2021,8,103733.22
100% AGAVE TEQUILA,2022-09-14,2022,9,103723.53
STRAIGHT BOURBON WHISKIES,2021-04-06,2021,4,103723.41
100% AGAVE TEQUILA,2022-07-28,2022,7,103674.3
WHISKEY LIQUEUR,2022-12-28,2022,12,103595.09
100% AGAVE TEQUILA,2023-10-27,2023,10,103594.23
MIXTO TEQUILA,2021-10-07,2021,10,103593.74
WHISKEY LIQUEUR,2023-04-17,2023,4,103567.03
WHISKEY LIQUEUR,2021-07-14,2021,7,103559.97
STRAIGHT BOURBON WHISKIES,2023-11-11,2023,11,103552.19
STRAIGHT BOURBON WHISKIES,2021-06-04,2021,6,103539.54
STRAIGHT BOURBON WHISKIES,2021-12-03,2021,12,103520.58
100% AGAVE TEQUILA,2023-03-28,2023,3,103516.66
STRAIGHT BOURBON WHISKIES,2023-07-14,2023,7,103504.79
100% AGAVE TEQUILA,2021-09-29,2021,9,103487.17
100% AGAVE TEQUILA,2021-08-31,2021,8,103443.02
WHISKEY LIQUEUR,2023-05-22,2023,5,103424.45
WHISKEY LIQUEUR,2021-05-04,2021,5,103391.46
WHISKEY LIQUEUR,2022-04-29,2022,4,103391.38
WHISKEY LIQUEUR,2022-06-04,2022,6,103371.63
100% AGAVE TEQUILA,2022-10-06,2022,10,103352.16
SPICED RUM,2021-12-02,2021,12,103346.8
TENNESSEE WHISKIES,2022-02-16,2022,2,103281.31
100% AGAVE TEQUILA,2021-03-17,2021,3,103232.9
WHISKEY LIQUEUR,2023-08-09,2023,8,103228.57
WHISKEY LIQUEUR,2021-05-12,2021,5,103225.71
100% AGAVE TEQUILA,2023-01-09,2023,1,103222.33
100% AGAVE TEQUILA,2023-04-25,2023,4,103218.78
STRAIGHT BOURBON WHISKIES,2022-02-18,2022,2,103218.66
STRAIGHT BOURBON WHISKIES,2021-04-23,2021,4,103188.22
100% AGAVE TEQUILA,2021-05-05,2021,5,103172.31
WHISKEY LIQUEUR,2021-11-12,2021,11,103129.07
WHISKEY LIQUEUR,2021-04-13,2021,4,103110.12
BLENDED WHISKIES,2022-12-27,2022,12,103072.92
100% AGAVE TEQUILA,2023-01-11,2023,1,103048.3
WHISKEY LIQUEUR,2021-04-21,2021,4,103017.78
WHISKEY LIQUEUR,2022-06-13,2022,6,103012.23
WHISKEY LIQUEUR,2023-02-06,2023,2,103009.54
100% AGAVE TEQUILA,2022-10-11,2022,10,102960.87
100% AGAVE TEQUILA,2023-01-17,2023,1,102938.88
SPICED RUM,2023-07-06,2023,7,102938.75
STRAIGHT BOURBON WHISKIES,2022-06-27,2022,6,102920.04
STRAIGHT BOURBON WHISKIES,2022-07-12,2022,7,102899.7
WHISKEY LIQUEUR,2023-06-14,2023,6,102896.14
WHISKEY LIQUEUR,2022-11-15,2022,11,102879.49
SPICED RUM,2022-07-06,2022,7,102861.13
WHISKEY LIQUEUR,2023-12-11,2023,12,102840.11
WHISKEY LIQUEUR,2023-09-18,2023,9,102827.56
WHISKEY LIQUEUR,2021-10-20,2021,10,102803.19
STRAIGHT BOURBON WHISKIES,2021-03-29,2021,3,102801.45
TENNESSEE WHISKIES,2021-06-07,2021,6,102765.93
WHISKEY LIQUEUR,2022-08-16,2022,8,102732.23
WHISKEY LIQUEUR,2021-01-11,2021,1,102699.28
100% AGAVE TEQUILA,2023-01-19,2023,1,102687.97
STRAIGHT BOURBON WHISKIES,2023-09-21,2023,9,102659.73
WHISKEY LIQUEUR,2021-09-22,2021,9,102653.13
WHISKEY LIQUEUR,2022-08-23,2022,8,102650.75
100% AGAVE TEQUILA,2021-09-20,2021,9,102624.5
100% AGAVE TEQUILA,2023-11-07,2023,11,102591.02
STRAIGHT BOURBON WHISKIES,2022-04-22,2022,4,102582.7
100% AGAVE TEQUILA,2022-10-19,2022,10,102542.4
TEMPORARY & SPECIALTY PACKAGES,2022-03-15,2022,3,102498.27
STRAIGHT BOURBON WHISKIES,2021-06-17,2021,6,102485.23
100% AGAVE TEQUILA,2023-03-22,2023,3,102460.29
CANADIAN WHISKIES,2023-10-15,2023,10,102448.44
WHISKEY LIQUEUR,2023-02-24,2023,2,102442.57
SPICED RUM,2021-03-10,2021,3,102430.02
CANADIAN WHISKIES,2023-03-02,2023,3,102429.37
WHISKEY LIQUEUR,2023-12-29,2023,12,102394.41
STRAIGHT BOURBON WHISKIES,2021-01-05,2021,1,102388.72
SPICED RUM,2021-04-16,2021,4,102388.17
STRAIGHT BOURBON WHISKIES,2021-07-27,2021,7,102382.74
SPICED RUM,2021-01-13,2021,1,102350.85
WHISKEY LIQUEUR,2023-06-19,2023,6,102324.42
100% AGAVE TEQUILA,2023-03-23,2023,3,102323.95
WHISKEY LIQUEUR,2021-05-19,2021,5,102291.3
WHISKEY LIQUEUR,2023-07-19,2023,7,102253.51
STRAIGHT BOURBON WHISKIES,2022-06-23,2022,6,102238.21
SPICED RUM,2022-05-19,2022,5,102217.76
WHISKEY LIQUEUR,2021-09-08,2021,9,102207.99
TEMPORARY & SPECIALTY PACKAGES,2022-04-05,2022,4,102203.22
SPICED RUM,2023-12-07,2023,12,102189.96
TENNESSEE WHISKIES,2023-07-07,2023,7,102130.72
SPICED RUM,2021-12-29,2021,12,102121.4
TENNESSEE WHISKIES,2021-09-30,2021,9,102093.55
WHISKEY LIQUEUR,2022-11-22,2022,11,102068.22
WHISKEY LIQUEUR,2023-01-17,2023,1,102057.93
SPICED RUM,2023-01-13,2023,1,102033.99
TEMPORARY & SPECIALTY PACKAGES,2022-09-29,2022,9,102031.04
WHISKEY LIQUEUR,2022-10-19,2022,10,102030.32
WHISKEY LIQUEUR,2023-07-18,2023,7,102004.91
WHISKEY LIQUEUR,2023-08-02,2023,8,101951.78
TEMPORARY & SPECIALTY PACKAGES,2022-09-14,2022,9,101941.9
WHISKEY LIQUEUR,2022-11-08,2022,11,101920.75
AMERICAN VODKAS,2023-10-15,2023,10,101845.38
100% AGAVE TEQUILA,2022-04-29,2022,4,101835.87
IMPORTED CORDIALS & LIQUEURS,2023-12-07,2023,12,101784.73
IMPORTED BRANDIES,2021-11-23,2021,11,101711.53
STRAIGHT BOURBON WHISKIES,2021-05-03,2021,5,101648.22
SPICED RUM,2022-04-01,2022,4,101633.65
100% AGAVE TEQUILA,2022-05-13,2022,5,101586.78
AMERICAN VODKAS,2023-11-05,2023,11,101563.24
STRAIGHT BOURBON WHISKIES,2021-03-19,2021,3,101561.47
STRAIGHT BOURBON WHISKIES,2021-04-14,2021,4,101554.19
STRAIGHT BOURBON WHISKIES,2022-03-29,2022,3,101533.45
WHISKEY LIQUEUR,2023-03-13,2023,3,101533.04
100% AGAVE TEQUILA,2024-01-22,2024,1,101529.67
100% AGAVE TEQUILA,2023-11-01,2023,11,101525.74
SPICED RUM,2021-04-21,2021,4,101498.27
STRAIGHT BOURBON WHISKIES,2021-04-29,2021,4,101493.29
IMPORTED BRANDIES,2021-04-27,2021,4,101443.84
100% AGAVE TEQUILA,2023-03-07,2023,3,101440.16
SPICED RUM,2022-03-15,2022,3,101370.42
IMPORTED BRANDIES,2022-08-22,2022,8,101361.66
TEMPORARY & SPECIALTY PACKAGES,2022-11-02,2022,11,101360.44
WHISKEY LIQUEUR,2023-10-03,2023,10,101265.75
CREAM LIQUEURS,2021-12-22,2021,12,101248.86
WHISKEY LIQUEUR,2021-10-22,2021,10,101241.59
WHISKEY LIQUEUR,2021-09-29,2021,9,101235.64
WHISKEY LIQUEUR,2022-09-19,2022,9,101228.83
100% AGAVE TEQUILA,2021-09-13,2021,9,101220.7
WHISKEY LIQUEUR,2023-11-15,2023,11,101209.82
WHISKEY LIQUEUR,2021-08-10,2021,8,101203.41
100% AGAVE TEQUILA,2022-09-19,2022,9,101185.97
WHISKEY LIQUEUR,2021-03-10,2021,3,101140.0
STRAIGHT BOURBON WHISKIES,2021-09-20,2021,9,101118.55
100% AGAVE TEQUILA,2022-12-13,2022,12,101118.36
WHISKEY LIQUEUR,2023-07-26,2023,7,101109.61
IMPORTED BRANDIES,2021-10-04,2021,10,101108.57
SPICED RUM,2021-12-16,2021,12,101097.02
WHISKEY LIQUEUR,2021-08-03,2021,8,101085.73
STRAIGHT BOURBON WHISKIES,2021-04-07,2021,4,101072.95
STRAIGHT BOURBON WHISKIES,2022-11-15,2022,11,101072.13
STRAIGHT BOURBON WHISKIES,2021-04-13,2021,4,101071.15
TENNESSEE WHISKIES,2022-04-06,2022,4,100944.07
STRAIGHT BOURBON WHISKIES,2021-01-15,2021,1,100941.43
100% AGAVE TEQUILA,2023-06-14,2023,6,100928.76
STRAIGHT BOURBON WHISKIES,2022-04-15,2022,4,100922.57
100% AGAVE TEQUILA,2022-10-24,2022,10,100915.22
WHISKEY LIQUEUR,2022-09-13,2022,9,100909.65
WHISKEY LIQUEUR,2022-06-28,2022,6,100908.33
STRAIGHT BOURBON WHISKIES,2023-04-19,2023,4,100899.65
100% AGAVE TEQUILA,2021-11-23,2021,11,100887.56
SPICED RUM,2023-03-17,2023,3,100878.21
STRAIGHT BOURBON WHISKIES,2021-03-04,2021,3,100855.85
STRAIGHT BOURBON WHISKIES,2023-03-16,2023,3,100840.1
CANADIAN WHISKIES,2021-08-09,2021,8,100839.5
IMPORTED VODKAS,2023-08-02,2023,8,100791.16
WHISKEY LIQUEUR,2022-07-22,2022,7,100785.63
WHISKEY LIQUEUR,2022-12-16,2022,12,100779.94
SPICED RUM,2021-12-01,2021,12,100770.09
STRAIGHT BOURBON WHISKIES,2022-01-17,2022,1,100768.01
TENNESSEE WHISKIES,2022-12-09,2022,12,100752.69
WHISKEY LIQUEUR,2023-10-24,2023,10,100682.9
100% AGAVE TEQUILA,2023-03-27,2023,3,100651.86
100% AGAVE TEQUILA,2021-11-03,2021,11,100619.16
WHISKEY LIQUEUR,2022-09-01,2022,9,100606.65
100% AGAVE TEQUILA,2021-12-27,2021,12,100435.58
WHISKEY LIQUEUR,2021-12-28,2021,12,100414.92
WHISKEY LIQUEUR,2023-04-10,2023,4,100414.17
WHISKEY LIQUEUR,2022-01-11,2022,1,100403.44
100% AGAVE TEQUILA,2022-06-08,2022,6,100378.33
SPICED RUM,2022-03-09,2022,3,100373.06
100% AGAVE TEQUILA,2022-04-13,2022,4,100371.11
WHISKEY LIQUEUR,2024-01-04,2024,1,100339.54
100% AGAVE TEQUILA,2021-10-28,2021,10,100318.28
WHISKEY LIQUEUR,2021-09-15,2021,9,100309.47
TEMPORARY & SPECIALTY PACKAGES,2021-10-21,2021,10,100285.69
TENNESSEE WHISKIES,2023-06-28,2023,6,100246.67
100% AGAVE TEQUILA,2023-07-25,2023,7,100246.43
SPICED RUM,2021-06-21,2021,6,100235.39
WHISKEY LIQUEUR,2021-09-24,2021,9,100214.44
STRAIGHT BOURBON WHISKIES,2023-03-20,2023,3,100208.09
100% AGAVE TEQUILA,2022-10-17,2022,10,100204.45
WHISKEY LIQUEUR,2023-12-01,2023,12,100198.13
WHISKEY LIQUEUR,2021-11-03,2021,11,100183.17
100% AGAVE TEQUILA,2021-09-28,2021,9,100158.36
STRAIGHT BOURBON WHISKIES,2022-09-09,2022,9,100087.38
100% AGAVE TEQUILA,2022-10-25,2022,10,100077.9
WHISKEY LIQUEUR,2023-06-03,2023,6,100065.93
WHISKEY LIQUEUR,2023-02-07,2023,2,100050.14
IMPORTED BRANDIES,2021-12-23,2021,12,100027.58
100% AGAVE TEQUILA,2022-07-18,2022,7,100020.56
WHISKEY LIQUEUR,2023-11-02,2023,11,99994.02
100% AGAVE TEQUILA,2023-09-12,2023,9,99940.14
100% AGAVE TEQUILA,2021-02-15,2021,2,99910.61
100% AGAVE TEQUILA,2023-07-18,2023,7,99909.87
WHISKEY LIQUEUR,2023-11-08,2023,11,99908.53
SPICED RUM,2021-09-24,2021,9,99904.9
TENNESSEE WHISKIES,2021-11-22,2021,11,99882.99
WHISKEY LIQUEUR,2023-06-01,2023,6,99864.29
IMPORTED BRANDIES,2021-11-19,2021,11,99856.37
WHISKEY LIQUEUR,2023-04-21,2023,4,99834.44
WHISKEY LIQUEUR,2023-01-23,2023,1,99804.26
WHISKEY LIQUEUR,2023-05-09,2023,5,99802.87
WHISKEY LIQUEUR,2022-10-03,2022,10,99799.92
WHISKEY LIQUEUR,2021-08-04,2021,8,99771.7
WHISKEY LIQUEUR,2022-05-05,2022,5,99765.05
100% AGAVE TEQUILA,2024-01-30,2024,1,99736.01
100% AGAVE TEQUILA,2021-12-15,2021,12,99731.49
100% AGAVE TEQUILA,2022-06-03,2022,6,99715.84
WHISKEY LIQUEUR,2022-06-23,2022,6,99710.68
SPICED RUM,2021-08-11,2021,8,99682.27
WHISKEY LIQUEUR,2021-09-17,2021,9,99675.54
STRAIGHT BOURBON WHISKIES,2021-11-12,2021,11,99649.06
STRAIGHT BOURBON WHISKIES,2021-07-28,2021,7,99638.24
100% AGAVE TEQUILA,2022-08-26,2022,8,99569.08
IMPORTED VODKAS,2021-06-28,2021,6,99552.27
STRAIGHT BOURBON WHISKIES,2021-06-23,2021,6,99551.11
STRAIGHT BOURBON WHISKIES,2023-04-18,2023,4,99541.16
STRAIGHT BOURBON WHISKIES,2021-06-01,2021,6,99539.44
SPICED RUM,2021-05-19,2021,5,99519.54
CANADIAN WHISKIES,2023-11-11,2023,11,99502.0
STRAIGHT BOURBON WHISKIES,2024-01-15,2024,1,99499.06
TEMPORARY & SPECIALTY PACKAGES,2022-08-30,2022,8,99473.13
STRAIGHT BOURBON WHISKIES,2023-07-28,2023,7,99421.79
IMPORTED VODKAS,2021-07-14,2021,7,99400.02
SPICED RUM,2023-07-03,2023,7,99383.0
IMPORTED VODKAS,2021-09-30,2021,9,99325.95
100% AGAVE TEQUILA,2023-06-16,2023,6,99285.2
SPICED RUM,2021-12-22,2021,12,99238.82
WHISKEY LIQUEUR,2021-10-27,2021,10,99232.07
100% AGAVE TEQUILA,2022-08-08,2022,8,99179.74
WHISKEY LIQUEUR,2022-09-27,2022,9,99166.37
STRAIGHT BOURBON WHISKIES,2021-08-13,2021,8,99150.6
STRAIGHT BOURBON WHISKIES,2022-06-24,2022,6,99141.65
AMERICAN VODKAS,2022-03-07,2022,3,99137.05
SPICED RUM,2023-07-11,2023,7,99128.1
STRAIGHT BOURBON WHISKIES,2021-08-02,2021,8,99120.46
SPICED RUM,2021-09-28,2021,9,99090.2
100% AGAVE TEQUILA,2023-07-28,2023,7,99067.9
100% AGAVE TEQUILA,2022-05-18,2022,5,99063.25
WHISKEY LIQUEUR,2023-12-18,2023,12,99059.92
TENNESSEE WHISKIES,2021-12-17,2021,12,99054.08
SPICED RUM,2021-09-15,2021,9,99034.26
FLAVORED RUM,2022-08-03,2022,8,99031.98
SPICED RUM,2021-06-08,2021,6,99005.75
TENNESSEE WHISKIES,2023-12-05,2023,12,98964.72
SPICED RUM,2021-11-08,2021,11,98862.13
SPICED RUM,2023-09-06,2023,9,98858.63
100% AGAVE TEQUILA,2023-01-18,2023,1,98851.3
STRAIGHT BOURBON WHISKIES,2021-02-09,2021,2,98843.67
TENNESSEE WHISKIES,2022-03-25,2022,3,98808.89
STRAIGHT BOURBON WHISKIES,2023-12-30,2023,12,98775.47
TENNESSEE WHISKIES,2022-10-07,2022,10,98719.43
WHISKEY LIQUEUR,2022-05-17,2022,5,98695.95
MIXTO TEQUILA,2022-06-15,2022,6,98672.79
STRAIGHT BOURBON WHISKIES,2022-05-20,2022,5,98666.56
SPICED RUM,2021-12-03,2021,12,98654.84
WHISKEY LIQUEUR,2022-11-30,2022,11,98644.01
WHISKEY LIQUEUR,2022-11-01,2022,11,98635.46
STRAIGHT BOURBON WHISKIES,2021-10-29,2021,10,98603.0
100% AGAVE TEQUILA,2023-12-12,2023,12,98585.92
WHISKEY LIQUEUR,2021-05-28,2021,5,98546.46
IMPORTED VODKAS,2021-07-08,2021,7,98490.65
STRAIGHT BOURBON WHISKIES,2021-12-27,2021,12,98488.15
100% AGAVE TEQUILA,2022-07-20,2022,7,98453.73
SPICED RUM,2021-12-17,2021,12,98386.45
SPICED RUM,2023-01-12,2023,1,98386.42
IMPORTED VODKAS,2021-11-23,2021,11,98378.0
100% AGAVE TEQUILA,2023-03-30,2023,3,98355.29
WHISKEY LIQUEUR,2021-12-29,2021,12,98337.19
100% AGAVE TEQUILA,2021-03-24,2021,3,98251.68
100% AGAVE TEQUILA,2023-04-12,2023,4,98201.49
IMPORTED BRANDIES,2021-03-30,2021,3,98197.91
