category_name,date,YEARS,MONTHS,Total_value
AMERICAN VODKAS,2023-06-06,2023,6,331290.34
AMERICAN VODKAS,2023-08-03,2023,8,331239.94
CANADIAN WHISKIES,2022-10-11,2022,10,331093.69
AMERICAN VODKAS,2023-05-24,2023,5,330452.38
AMERICAN VODKAS,2023-03-08,2023,3,330288.6
AMERICAN VODKAS,2023-09-07,2023,9,330221.32
CANADIAN WHISKIES,2023-02-23,2023,2,329706.96
CANADIAN WHISKIES,2023-02-07,2023,2,329664.9
AMERICAN VODKAS,2023-11-21,2023,11,328194.12
AMERICAN VODKAS,2022-05-31,2022,5,328028.11
AMERICAN VODKAS,2022-11-07,2022,11,327733.5
AMERICAN VODKAS,2022-05-26,2022,5,327595.87
AMERICAN VODKAS,2023-09-26,2023,9,326906.89
AMERICAN VODKAS,2023-08-21,2023,8,326266.71
AMERICAN VODKAS,2021-06-30,2021,6,325780.36
AMERICAN VODKAS,2023-05-30,2023,5,325554.32
AMERICAN VODKAS,2021-08-04,2021,8,325508.31
CANADIAN WHISKIES,2022-12-02,2022,12,325365.39
AMERICAN VODKAS,2023-07-03,2023,7,325183.26
STRAIGHT BOURBON WHISKIES,2022-10-26,2022,10,324877.01
AMERICAN VODKAS,2023-08-09,2023,8,321357.64
AMERICAN VODKAS,2022-06-16,2022,6,321278.98
AMERICAN VODKAS,2022-08-22,2022,8,321217.8
AMERICAN VODKAS,2022-05-24,2022,5,319600.55
AMERICAN VODKAS,2023-08-07,2023,8,319339.96
AMERICAN VODKAS,2022-02-10,2022,2,318007.54
AMERICAN VODKAS,2023-08-30,2023,8,317523.5
AMERICAN VODKAS,2023-05-22,2023,5,317298.75
AMERICAN VODKAS,2023-02-06,2023,2,317026.07
AMERICAN VODKAS,2021-05-05,2021,5,316702.71
AMERICAN VODKAS,2022-04-07,2022,4,316537.82
CANADIAN WHISKIES,2023-05-05,2023,5,316353.85
AMERICAN VODKAS,2023-06-01,2023,6,316298.13
AMERICAN VODKAS,2021-06-02,2021,6,315503.4
AMERICAN VODKAS,2022-02-16,2022,2,315487.0
AMERICAN VODKAS,2021-06-15,2021,6,314434.5
AMERICAN VODKAS,2022-10-11,2022,10,313265.73
AMERICAN VODKAS,2023-11-17,2023,11,312983.96
AMERICAN VODKAS,2023-12-22,2023,12,312341.92
AMERICAN VODKAS,2023-11-22,2023,11,312221.93
AMERICAN VODKAS,2022-05-19,2022,5,311869.28
SPICED RUM,2021-11-01,2021,11,311536.37
AMERICAN VODKAS,2022-07-27,2022,7,311008.17
AMERICAN VODKAS,2023-05-19,2023,5,310852.91
CANADIAN WHISKIES,2023-05-03,2023,5,310664.64
CANADIAN WHISKIES,2022-12-27,2022,12,310113.7
AMERICAN VODKAS,2023-05-23,2023,5,309522.3
AMERICAN VODKAS,2021-11-01,2021,11,307729.29
AMERICAN VODKAS,2023-09-01,2023,9,307418.29
STRAIGHT BOURBON WHISKIES,2023-12-18,2023,12,307157.49
AMERICAN VODKAS,2022-05-25,2022,5,306590.24
CANADIAN WHISKIES,2021-12-21,2021,12,306445.26
CANADIAN WHISKIES,2023-05-23,2023,5,305646.4
AMERICAN VODKAS,2021-08-06,2021,8,305335.33
AMERICAN VODKAS,2022-08-26,2022,8,305032.25
AMERICAN VODKAS,2023-09-18,2023,9,304452.78
AMERICAN VODKAS,2022-10-14,2022,10,304423.91
AMERICAN VODKAS,2022-08-16,2022,8,304091.7
AMERICAN VODKAS,2022-06-24,2022,6,303658.88
AMERICAN VODKAS,2021-06-25,2021,6,303384.07
AMERICAN VODKAS,2023-06-30,2023,6,303153.5
AMERICAN VODKAS,2023-08-14,2023,8,302300.49
AMERICAN VODKAS,2021-07-20,2021,7,302129.41
AMERICAN VODKAS,2022-03-30,2022,3,301973.12
AMERICAN VODKAS,2023-06-23,2023,6,301611.37
AMERICAN VODKAS,2022-01-05,2022,1,301429.48
AMERICAN VODKAS,2021-05-18,2021,5,301173.39
AMERICAN VODKAS,2023-05-12,2023,5,300633.14
AMERICAN VODKAS,2023-04-07,2023,4,299601.45
AMERICAN VODKAS,2021-07-07,2021,7,299394.28
AMERICAN VODKAS,2021-05-26,2021,5,299176.58
AMERICAN VODKAS,2022-02-07,2022,2,299145.65
CANADIAN WHISKIES,2023-12-05,2023,12,298817.05
AMERICAN VODKAS,2021-05-27,2021,5,298531.2
CANADIAN WHISKIES,2021-02-22,2021,2,298239.16
100% AGAVE TEQUILA,2023-12-27,2023,12,297999.44
AMERICAN VODKAS,2022-02-04,2022,2,297587.04
AMERICAN VODKAS,2022-08-10,2022,8,297313.61
AMERICAN VODKAS,2022-05-05,2022,5,297291.96
AMERICAN VODKAS,2021-05-06,2021,5,295958.09
CANADIAN WHISKIES,2021-12-09,2021,12,295769.62
AMERICAN VODKAS,2022-05-13,2022,5,295112.16
AMERICAN VODKAS,2023-07-26,2023,7,294939.63
STRAIGHT BOURBON WHISKIES,2022-10-12,2022,10,294563.96
